MU,1507706,São Sebastião da Boa Vista (PA),26640,PA
MU,1507755,Sapucaia (PA),5930,PA
MU,1507805,Senador José Porfírio (PA),11658,PA
MU,1507904,Soure (PA),25374,PA
MU,1507953,Tailândia (PA),106339,PA
MU,1507961,Terra Alta (PA),11720,PA
MU,1507979,Terra Santa (PA),18769,PA
MU,1508001,Tomé-Açu (PA),63447,PA
MU,1508035,Tracuateua (PA),30959,PA
MU,1508050,Trairão (PA),18989,PA
MU,1508084,Tucumã (PA),39602,PA
MU,1508100,Tucuruí (PA),113659,PA
MU,1508126,Ulianópolis (PA),59210,PA
MU,1508159,Uruará (PA),45476,PA
MU,1508209,Vigia (PA),53686,PA
MU,1508308,Viseu (PA),61403,PA
MU,1508357,Vitória do Xingu (PA),15134,PA
MU,1508407,Xinguara (PA),44751,PA
MU,1600055,Serra do Navio (AP),5397,AP
MU,1600105,Amapá (AP),9109,AP
MU,1600154,Pedra Branca do Amapari (AP),16502,AP
MU,1600204,Calçoene (AP),11117,AP
MU,1600212,Cutias (AP),5983,AP
MU,1600238,Ferreira Gomes (AP),7780,AP
MU,1600253,Itaubal (AP),5503,AP
MU,1600279,Laranjal do Jari (AP),50410,AP
MU,1600303,Macapá (AP),503327,AP
MU,1600402,Mazagão (AP),21632,AP
MU,1600501,Oiapoque (AP),27270,AP
MU,1600535,Porto Grande (AP),21971,AP
MU,1600550,Pracuúba (AP),5120,AP
MU,1600600,Santana (AP),121364,AP
MU,1600709,Tartarugalzinho (AP),17315,AP
MU,1600808,Vitória do Jari (AP),15931,AP
MU,1700251,Abreulândia (TO),2579,TO
MU,1700301,Aguiarnópolis (TO),6733,TO
MU,1700350,Aliança do Tocantins (TO),5390,TO
MU,1700400,Almas (TO),7055,TO
MU,1700707,Alvorada (TO),8412,TO
MU,1701002,Ananás (TO),9549,TO
MU,1701051,Angico (TO),3433,TO
MU,1701101,Aparecida do Rio Negro (TO),4795,TO
MU,1701309,Aragominas (TO),5758,TO
